Feature,Coefficient,Importance
numeric__backlogs,-0.17270387453517497,0.17270387453517497
numeric__internships_count,0.12834262476255778,0.12834262476255778
numeric__projects_count,0.12629770737896726,0.12629770737896726
numeric__coding_skill_score,0.10635385993775173,0.10635385993775173
numeric__mock_interview_score,0.09428247217992063,0.09428247217992063
numeric__logical_reasoning_score,0.07388514546752369,0.07388514546752369
numeric__aptitude_score,0.06645404896964699,0.06645404896964699
numeric__communication_skill_score,0.06212200368284885,0.06212200368284885
numeric__leadership_score,0.04662709615394011,0.04662709615394011
numeric__extracurricular_score,0.04059869334817753,0.04059869334817753
categorical__gender_Male,0.03964768940304298,0.03964768940304298
categorical__volunteer_experience_Yes,0.03785214869065543,0.03785214869065543
categorical__volunteer_experience_No,0.035464485488653295,0.035464485488653295
categorical__branch_Civil,0.034610476279598755,0.034610476279598755
categorical__gender_Female,0.0336689447762657,0.0336689447762657
categorical__college_tier_Tier 3,0.029173702327122703,0.029173702327122703
numeric__cgpa,0.026768154732609944,0.026768154732609944
categorical__branch_CSE,0.023152764921050374,0.023152764921050374
categorical__college_tier_Tier 1,0.022918428971032197,0.022918428971032197
categorical__branch_Mechanical,0.021490439266565967,0.021490439266565967
categorical__college_tier_Tier 2,0.02122450288115463,0.02122450288115463
numeric__attendance_percentage,-0.020546236904166057,0.020546236904166057
categorical__branch_ECE,-0.016344105440897132,0.016344105440897132
categorical__branch_EEE,0.015373731837165916,0.015373731837165916
numeric__sleep_hours,-0.014828162753819738,0.014828162753819738
numeric__certifications_count,-0.012990222150393384,0.012990222150393384
numeric__github_repos,0.01256589429866493,0.01256589429866493
numeric__hackathons_participated,0.007194213273454322,0.007194213273454322
numeric__linkedin_connections,0.0058195752060672375,0.0058195752060672375
categorical__branch_IT,-0.004966672684173134,0.004966672684173134
numeric__age,0.004920860188097196,0.004920860188097196
numeric__study_hours_per_day,-0.0022075964394320377,0.0022075964394320377
